order_id,trade_id,broker,symbol,isin,matched_qty,status,execution_slippage,allocated_brokerage,allocated_stt,total_cost
CLIENT1202,7,BROKER1CODE,DOMS,INE321T01012,100,Matched,0,283.23,600.0,257798.81
CLIENT1203,7,BROKER1CODE,DOMS,INE321T01012,200,Matched,0,566.46,1200.0,515597.62
CLIENT1205,7,BROKER1CODE,DOMS,INE321T01012,300,Matched,0,849.69,1800.0,773396.43
CLIENT1174,7,BROKER1CODE,DOMS,INE321T01012,20,Partial,300,56.65,120.0,51559.76
CLIENT1202,2,BROKER1CODE,PGEL,INE457L01029,190,Matched,0,19.14,40.57,186277.57
CLIENT1211,2,BROKER1CODE,PGEL,INE457L01029,228,Matched,0,22.97,48.68,223533.08
CLIENT1243,2,BROKER1CODE,PGEL,INE457L01029,266,Matched,0,26.8,56.79,260788.6
CLIENT006,2,BROKER1CODE,PGEL,INE457L01029,323,Matched,0,32.54,68.96,316671.87
CLIENT070,2,BROKER1CODE,PGEL,INE457L01029,342,Matched,0,34.46,73.02,335299.62
CLIENT1203,2,BROKER1CODE,PGEL,INE457L01029,722,Matched,0,72.74,154.16,707854.76
CLIENT1174,2,BROKER1CODE,PGEL,INE457L01029,1444,Matched,0,145.48,308.31,1415709.53
CLIENT1205,2,BROKER1CODE,PGEL,INE457L01029,1843,Matched,0,185.68,393.5,1806892.42
CLIENT1218,10,BROKER1CODE,SOLARA,INE624Z01016,90,Matched,0,19.88,42.12,60673.73
CLIENT1186,10,BROKER1CODE,SOLARA,INE624Z01016,1080,Matched,0,238.57,505.44,728084.81
CLIENT1243,10,BROKER1CODE,SOLARA,INE624Z01016,1485,Matched,0,328.04,694.98,1001116.61
CLIENT070,10,BROKER1CODE,SOLARA,INE624Z01016,1530,Matched,0,337.98,716.04,1031453.48
CLIENT1202,10,BROKER1CODE,SOLARA,INE624Z01016,1710,Matched,0,377.74,800.28,1152800.95
CLIENT1211,10,BROKER1CODE,SOLARA,INE624Z01016,1845,Matched,0,407.56,863.46,1243811.55
CLIENT1203,10,BROKER1CODE,SOLARA,INE624Z01016,1260,Partial,900,278.33,589.68,849432.28
CLIENT1218,15,BROKER2CODE,SOLARA,INE624Z01016,90,Matched,0,44.73,94.77,61339.5
CLIENT1186,15,BROKER2CODE,SOLARA,INE624Z01016,1080,Matched,0,536.79,1137.24,736074.03
CLIENT1243,15,BROKER2CODE,SOLARA,INE624Z01016,1485,Matched,0,738.08,1563.71,1012101.79
CLIENT070,15,BROKER2CODE,SOLARA,INE624Z01016,1345,Partial,185,668.5,1416.28,916684.78
CLIENT1218,19,BROKER3CODE,SOLARA,INE624Z01016,90,Matched,0,29.43,62.35,58591.78
CLIENT1186,19,BROKER3CODE,SOLARA,INE624Z01016,1080,Matched,0,353.15,748.18,703101.33
CLIENT1243,19,BROKER3CODE,SOLARA,INE624Z01016,1485,Matched,0,485.58,1028.75,966764.33
CLIENT070,19,BROKER3CODE,SOLARA,INE624Z01016,1530,Matched,0,500.29,1059.93,996060.22
CLIENT1202,19,BROKER3CODE,SOLARA,INE624Z01016,1710,Matched,0,559.15,1184.62,1113243.78
CLIENT1211,19,BROKER3CODE,SOLARA,INE624Z01016,185,Partial,1660,60.49,128.16,120438.65
CLIENT1176,3,BROKER1CODE,VMART,INE665J01013,14,Matched,0,123.12,260.84,54684.08
CLIENT070,3,BROKER1CODE,VMART,INE665J01013,98,Matched,0,861.82,1825.9,382788.56
CLIENT1243,3,BROKER1CODE,VMART,INE665J01013,98,Matched,0,861.82,1825.9,382788.56
CLIENT1203,3,BROKER1CODE,VMART,INE665J01013,112,Matched,0,984.93,2086.75,437472.64
CLIENT1211,3,BROKER1CODE,VMART,INE665J01013,126,Matched,0,1108.05,2347.59,492156.72
CLIENT1202,3,BROKER1CODE,VMART,INE665J01013,126,Matched,0,1108.05,2347.59,492156.72
CLIENT1174,3,BROKER1CODE,VMART,INE665J01013,7,Partial,287,61.56,130.42,27342.04
CLIENT1176,13,BROKER2CODE,VMART,INE665J01013,14,Matched,0,123.12,260.84,55683.96
CLIENT070,13,BROKER2CODE,VMART,INE665J01013,98,Matched,0,861.82,1825.9,389787.72
CLIENT1243,13,BROKER2CODE,VMART,INE665J01013,98,Matched,0,861.82,1825.9,389787.72
CLIENT1203,13,BROKER2CODE,VMART,INE665J01013,112,Matched,0,984.93,2086.75,445471.68
CLIENT1211,13,BROKER2CODE,VMART,INE665J01013,126,Matched,0,1108.05,2347.59,501155.64
CLIENT1202,13,BROKER2CODE,VMART,INE665J01013,126,Matched,0,1108.05,2347.59,501155.64
CLIENT1174,13,BROKER2CODE,VMART,INE665J01013,7,Partial,287,61.56,130.42,27841.98
CLIENT1176,0,BROKER1CODE,JUBLPHARMA,INE700A01033,123,Matched,0,32.55,68.96,135711.57
CLIENT1218,0,BROKER1CODE,JUBLPHARMA,INE700A01033,123,Matched,0,32.55,68.96,135711.57
CLIENT1186,0,BROKER1CODE,JUBLPHARMA,INE700A01033,246,Matched,0,65.09,137.92,271423.14
